Contig	Pos	SNP	Allele1	Allele2	ChrPos	JekyllIs_MAF	D2Gen5_106	D2Gen5_1153	D2Gen5_1155	D2Gen5_1157	D2Gen5_1158	D2Gen5_1161	D2Gen5_1162	D2Gen5_1165	D2Gen5_1437	D2Gen5_1522	D2Gen5_1523	D2Gen5_1524	D2Gen5_1525	D2Gen5_1527	D2Gen5_1528	D2Gen5_209	D2Gen5_212	D2Gen5_213	D2Gen5_505	D2Gen5_506	D2Gen5_507	D2Gen5_508	D2Gen5_512	D2Gen5_513	D2Gen5_514	D2Gen5_515	D2Gen5_516	D2Gen5_518	D2Gen5_519	D2Gen5_520	D2Gen5_521	D2Gen5_522	D2Gen5_523	D2Gen5_524	D2Gen5_525	D2Gen5_526	D2Gen5_527	D2Gen5_529	D2Gen5_530	D2Gen5_532	D2Gen5_534	D2Gen5_537	D2Gen5_540	D2Gen5_541	D2Gen5_545	D2Gen5_547	D2Gen5_548	D2Gen5_549	D2Gen5_550	D2Gen5_551
Contig2382	290	Contig2382_290	1	3	569598	0.068876	NA	0.111109	NA	NA	0.337743	1.659687	NA	NA	0.333508	NA	NA	NA	NA	NA	1.800001	0.199999	0.333508	0.99434	NA	1.799855	NA	NA	1.001275	NA	1.799988	NA	0.333508	0.33509	1.030696	1.666492	NA	1.66491	NA	1.659687	NA	1.799999	1.659687	1.659687	NA	NA	0.976092	0.200289	1.004939	1.659687	0.909088	1.799945	0.111109	NA	NA	1.941178
Contig2382	483	Contig2382_483	2	0	569791	0.030983	0.333508	0.340313	NA	NA	1.666492	0.333508	1.66639	0.333508	NA	NA	NA	1.659687	0.333553	1.639217	NA	0.367743	0.333683	0.340313	0.340313	1.66491	0.340313	NA	1.662257	0.33509	1.66491	1.66639	0.33509	0.33509	1.666492	NA	NA	1.659687	NA	NA	NA	1.666492	NA	1.659687	NA	1.66491	0.33509	NA	NA	1.66639	NA	NA	1.639217	0.33509	1.666227	1.666447
Contig2382	548	Contig2382_548	2	0	569856	0.574341	1.941178	1.275988	NA	0.333508	1.004153	0.111109	0.111109	1.01501	1.66491	0.33509	NA	NA	NA	NA	NA	1.800003	1.666227	NA	0.334031	0.200022	NA	0.337743	1.65789	1.800003	NA	0.333508	0.99434	NA	0.333553	0.199997	0.360781	0.200001	1.666492	NA	1.666492	0.200004	NA	NA	0.33509	0.200001	0.9875	0.987505	NA	NA	NA	NA	0.199997	NA	0.977048	0.199999
Contig2382	718	Contig2382_718	3	1	570026	0.999997	1.992249	0.111109	0.333553	0.200035	1.659687	0.33509	1.00037	1.666447	0.33509	NA	0.199997	0.200001	0.33361	NA	0.199997	1.000001	1.888891	0.333508	0.336838	0.199997	NA	1.001266	0.998747	1.941178	NA	NA	0.200012	0.998735	0.058822	0.058822	1.666492	0.199997	0.199999	0.199999	1.666492	0.20001	0.333508	NA	0.199997	0.200003	NA	0.199997	0.999795	0.199997	0.333508	NA	0.999208	1.66639	0.333553	0.199997
Contig2382	719	Contig2382_719	2	0	570027	0.999997	1.992249	0.111109	0.333508	0.200035	1.659687	0.33509	1.00037	1.66639	0.33509	NA	0.199997	0.200001	0.33361	NA	0.199997	1.000001	1.888891	0.333508	0.367743	0.199997	NA	1.001266	0.997491	1.941178	NA	NA	1.00037	0.998733	0.975326	0.058822	1.666492	0.199997	1.023908	0.199999	1.666492	0.199997	0.333508	NA	0.199997	0.33361	1.66491	0.987501	0.99963	0.199997	0.333508	NA	0.998633	1.666492	0.333508	0.199999
Contig2382	1106	Contig2382_1106	2	0	570414	0.980002	NA	1.047751	0.333888	NA	NA	0.200004	1	1.800001	0.200003	0.340313	NA	0.33509	0.33509	0.33509	0.058822	0.99203	NA	1.023908	1.01825	0.33361	NA	0.200035	NA	1.800001	0.333508	NA	0.998735	NA	0.33361	0.199997	1.659687	0.200021	0.976462	NA	0.333888	0.333508	0.200001	NA	0.058822	NA	0.199999	NA	0.969261	0.199999	1.666112	0.340313	0.999967	1.66491	1.662257	0.333508
Contig2382	1313	Contig2382_1313	3	2	570621	0.976602	1.800003	1.047757	0.33361	NA	0.199999	0.199997	0.199999	1.002529	NA	0.111109	0.111109	0.111109	1.66491	0.33509	0.340313	1.005662	1.666447	NA	0.836214	0.333508	NA	1.800003	NA	1.66639	NA	0.333508	NA	1.029881	1.008901	0.33361	NA	NA	1.00037	0.33361	0.337743	NA	0.999956	NA	NA	0.199997	1.639217	NA	1.66491	0.200033	1	0.985946	0.33361	1.941178	NA	0.33361
Contig2382	1379	Contig2382_1379	1	3	570687	5e-06	0.030302	1.001141	1.666492	1.662257	1.66491	0.999836	NA	1.800003	0.33509	1.66491	1.800001	NA	0.33509	NA	1.66639	0.909088	0.200001	1.005032	0.199999	1.639217	NA	0.33361	1.666492	NA	NA	1.888891	1.002003	0.015384	NA	1.800001	1.659687	1.79994	1.799997	NA	NA	1.659687	1.66491	1.799999	1.799992	1.659687	NA	0.994502	NA	1.800003	1.665272	0.111112	1.799855	NA	1.612782	1.941178
Contig2382	1598	Contig2382_1598	1	0	570906	0.981939	1.800003	NA	0.334213	0.333508	0.975614	0.199997	0.333508	1	1.66491	0.199999	NA	0.333508	1.66639	0.058822	0.333508	1.001207	NA	NA	1.666492	0.199997	0.333508	0.985946	0.996008	NA	0.33361	NA	NA	0.199997	0.333508	0.111109	1.984616	NA	0.111109	NA	0.333508	0.111109	1.659687	0.333773	0.333508	0.111109	1.800003	1.800003	NA	0.111109	NA	0.199999	NA	1.800001	1.665967	0.337743
Contig2382	1675	Contig2382_1675	1	3	570983	0.951664	1.888891	NA	NA	0.199997	1.003174	0.333508	1.00037	0.998734	NA	0.333508	NA	0.199997	1.666492	0.199997	NA	0.998735	NA	1.666492	1.666492	0.367743	0.333508	0.333508	1	1.666492	0.333508	0.199997	1.666492	0.998733	0.199997	0.111109	1.888891	NA	0.997471	0.333508	0.333508	0.33361	1.66491	0.333508	0.333508	0.111109	1.666492	1.666112	NA	0.199997	1.665557	1.663162	NA	1.888891	1.649242	NA
Contig2382	1796	Contig2382_1796	2	0	571104	0.981987	1.666317	1.66639	0.199997	0.333683	1.666492	0.058822	0.987501	1	1.666317	0.333683	0.199997	0.199997	1.666317	0.337743	0.058822	0.199997	NA	0.998736	NA	0.199997	0.199997	1.623577	1	1.799999	0.337743	0.199999	NA	1.000001	0.99963	NA	0.337743	NA	1.001265	NA	1.662257	0.199997	1.666492	NA	NA	0.030302	1.666492	1.666227	1.799952	0.111109	0.33361	0.997837	0.333508	1.888891	1.800003	0.33509
Contig2382	1823	Contig2382_1823	1	3	571131	0.97908	1.800003	1.66639	0.33509	0.333508	1.666492	0.058822	0.975326	1	1.632257	0.340313	0.33361	0.111109	1.66639	0.337743	0.058822	0.199997	NA	0.998758	NA	0.199997	0.199997	1.665272	1	1.799999	0.337743	0.199997	NA	1	0.99963	NA	0.337743	NA	1	NA	1.662257	0.333773	1.666492	NA	NA	0.058822	1.666492	NA	1.799999	0.199997	0.33361	0.33361	0.333508	1.888891	1.800003	0.33509
Contig2382	1931	Contig2382_1931	0	2	571239	0.982991	1.969698	1.011838	NA	0.199997	1.800003	0.058822	0.33361	0.199997	NA	0.333508	0.33361	0.058822	0.333508	0.333508	0.058822	1	1.800003	1.800003	1.005498	0.199997	NA	0.111109	1.800003	1.800003	NA	NA	NA	1.00037	NA	NA	1.800001	0.030302	1.666492	0.333508	1.666492	0.333508	0.997468	NA	0.33509	0.030302	1.001265	1.666492	1.66639	0.199997	NA	1.800003	0.995998	1.666492	1.00037	NA
Contig2382	2023	Contig2382_2023	3	2	571331	0.999999	1.799945	1.88889	0.33509	0.200001	1.666227	0.33361	0.994708	1.799967	0.340313	NA	0.33361	0.199999	1.090905	NA	0.200145	1.00529	1.659687	NA	0.33509	0.340313	1.659687	0.340313	1.666447	1.799855	0.340313	0.340313	1.799967	1.030431	NA	0.340313	0.98175	NA	NA	0.340313	0.340313	0.199997	NA	0.33509	NA	NA	0.200145	0.340313	1.662257	0.340313	0.985359	1.799999	1.000001	1.799981	1.659687	0.337743
Contig2382	2114	Contig2382_2114	0	2	571422	0.999997	1.666492	1.024674	0.333508	0.33509	0.33361	0.333508	1.66491	1.004706	1.00935	0.111109	0.111109	0.33361	1.799997	0.200015	0.200001	0.199999	1.666492	1.001265	1.800003	0.200001	NA	0.33509	0.969253	1.800003	0.333508	NA	1.012489	1.662257	0.111109	0.199997	1.000006	0.111109	1.666492	0.337743	0.340313	0.003891	0.333508	NA	0.111109	NA	NA	NA	NA	0.333508	1.003999	0.111109	0.333888	1.941178	0.33509	0.333553
Contig2382	2234	Contig2382_2234	2	0	571542	0.975941	1.66639	1.023908	0.058822	NA	1.800003	0.340313	0.199999	NA	0.998406	0.111109	0.199999	0.199997	1.001253	0.111108	0.030302	1.666227	1.888891	1.888891	1.66639	NA	1.66491	0.889915	1.00001	1.662257	0.199999	NA	1.005662	1.666492	1.000366	0.33361	0.340313	NA	1.019709	0.340313	NA	0.111109	0.333508	0.333508	NA	0.111109	1	1.666492	0.998008	0.111109	1.666227	1.666492	0.998735	NA	0.999989	0.058822
Contig2382	2237	Contig2382_2237	3	1	571545	0.823994	1.666317	1.023908	0.058822	NA	1.800003	0.340313	0.199999	NA	0.997998	0.111109	0.199997	0.199997	1.001253	0.111108	0.030302	1.66639	1.888891	1.888891	1.66639	NA	1.66491	1	1.000013	1.662257	0.199999	NA	1.005662	1.666492	1.000366	0.33361	0.340313	NA	1.325452	0.340313	NA	0.111109	0.333508	0.333508	NA	0.111109	0.995997	1.666492	0.998003	0.111109	1.666492	1.666492	0.998735	NA	1	0.058822
comp59702_c0_seq2	96	comp59702_c0_seq2_96	1	3	583907	0.958326	1.639217	0.999996	0.333508	0.199997	0.333508	0.367743	0.111109	1.666492	1.800003	0.333508	NA	0.199997	NA	NA	0.058822	1	1.800003	0.998734	NA	0.111109	0.99601	1.888891	0.998406	1.888891	0.111109	0.33509	0.333508	0.199997	0.199997	0.199997	1.001266	0.200001	NA	0.058822	1.666492	0.33361	NA	0.333508	0.058822	0.199997	1.800003	0.199997	NA	0.199999	1.666492	0.33361	1	1.666492	1.800003	0.030302
comp59702_c0_seq2	117	comp59702_c0_seq2_117	1	3	583928	0.999996	1.666447	0.566751	0.333508	0.199997	0.333508	0.333888	0.111109	1.666492	1.800003	0.333508	0.367743	0.058822	NA	NA	0.058822	1	1.800003	0.998734	NA	0.111109	0.998735	1.888891	0.998734	1.941178	0.199997	0.33509	0.333508	0.199997	0.333508	0.333508	1.001266	0.199997	NA	0.111108	1.666492	0.33361	NA	0.199997	0.199997	0.199997	1.001265	0.199997	NA	0.333508	NA	0.333508	1	NA	1.800003	0.058822
comp59702_c0_seq2	145	comp59702_c0_seq2_145	2	3	583956	0.999997	1.800003	0.765711	NA	0.33361	0.999371	0.199997	1.000629	1.666492	1.800003	0.199997	0.333508	0.058822	0.998734	NA	0.007751	1.16288	1.800003	0.998633	NA	0.199997	0.998749	1.888891	0.199997	1.888891	0.998633	0.33509	0.199997	NA	0.199997	0.111109	1.001592	0.111109	NA	0.333508	0.999836	0.111109	NA	0.34437	0.111109	0.111109	1	0.998805	NA	0.030302	NA	0.333508	1.002529	NA	1.666492	0.058822
comp59702_c0_seq2	309	comp59702_c0_seq2_309	1	3	584120	4e-06	0.199997	0.333553	1.800001	1.800003	0.200015	1.001266	1.800001	1.799985	0.199997	1.800003	1.666492	1.969698	0.333508	NA	1.888891	1.002529	NA	1.799999	0.333508	1.941178	NA	0.111109	0.199997	0.199997	1.800003	1.665787	1.888891	0.199997	0.999893	1.666492	1.666492	1.666492	NA	NA	1	NA	0.333508	NA	1.666492	1.666492	0.333683	0.33361	1.001367	1.001265	NA	1.888891	0.111109	0.111109	0.998735	1.888891
